time,Open,High,Low,Close,Volume
2026-07-23 04:09:00+00:00,7525.0,7525.75,7524.0,7524.0,0
2026-07-23 04:10:00+00:00,7523.75,7525.0,7523.75,7524.5,51
2026-07-23 04:11:00+00:00,7524.25,7524.5,7524.0,7524.5,40
2026-07-23 04:12:00+00:00,7524.75,7526.75,7524.25,7526.75,98
2026-07-23 04:13:00+00:00,7526.75,7527.75,7526.5,7527.75,105
2026-07-23 04:14:00+00:00,7527.5,7529.0,7527.5,7528.5,141
2026-07-23 04:15:00+00:00,7529.0,7529.5,7528.75,7529.25,81
2026-07-23 04:16:00+00:00,7529.0,7529.5,7527.5,7527.5,109
2026-07-23 04:17:00+00:00,7527.25,7528.0,7527.25,7527.5,57
2026-07-23 04:18:00+00:00,7527.75,7528.25,7527.75,7527.75,49
2026-07-23 04:19:00+00:00,7528.0,7528.25,7527.5,7527.5,49
2026-07-23 04:20:00+00:00,7527.5,7528.75,7527.5,7528.25,84
2026-07-23 04:21:00+00:00,7528.25,7529.25,7528.25,7529.25,62
2026-07-23 04:22:00+00:00,7529.5,7530.5,7529.0,7530.25,98
2026-07-23 04:23:00+00:00,7530.5,7530.75,7530.0,7530.25,50
2026-07-23 04:24:00+00:00,7530.5,7530.75,7530.0,7530.5,35
2026-07-23 04:25:00+00:00,7530.5,7533.5,7530.5,7533.5,228
2026-07-23 04:26:00+00:00,7533.25,7533.75,7532.75,7533.0,128
2026-07-23 04:27:00+00:00,7533.25,7533.5,7532.0,7532.25,94
2026-07-23 04:28:00+00:00,7532.0,7532.25,7529.5,7530.5,108
2026-07-23 04:29:00+00:00,7530.75,7533.0,7530.0,7532.25,256
2026-07-23 04:30:00+00:00,7532.0,7532.75,7531.5,7532.5,178
2026-07-23 04:31:00+00:00,7532.5,7532.5,7530.5,7530.75,107
2026-07-23 04:32:00+00:00,7530.75,7531.5,7530.25,7531.25,57
2026-07-23 04:33:00+00:00,7531.25,7532.5,7531.25,7532.25,116
2026-07-23 04:34:00+00:00,7532.0,7533.0,7532.0,7532.75,44
2026-07-23 04:35:00+00:00,7533.0,7533.25,7531.5,7531.75,71
2026-07-23 04:36:00+00:00,7531.75,7532.75,7531.0,7532.75,112
2026-07-23 04:37:00+00:00,7533.0,7533.25,7532.0,7532.5,107
2026-07-23 04:38:00+00:00,7532.25,7532.5,7531.5,7532.0,99
2026-07-23 04:39:00+00:00,7532.25,7532.75,7532.0,7532.75,49
2026-07-23 04:40:00+00:00,7533.0,7533.0,7532.25,7532.75,49
2026-07-23 04:41:00+00:00,7532.75,7532.75,7531.5,7531.75,47
2026-07-23 04:42:00+00:00,7531.5,7531.5,7530.5,7531.5,103
2026-07-23 04:43:00+00:00,7531.0,7531.0,7529.75,7530.0,93
2026-07-23 04:44:00+00:00,7530.25,7530.75,7530.0,7530.0,44
2026-07-23 04:45:00+00:00,7530.0,7530.75,7529.25,7530.75,58
2026-07-23 04:46:00+00:00,7531.0,7531.5,7530.5,7531.25,67
2026-07-23 04:47:00+00:00,7530.75,7531.75,7530.75,7531.25,27
2026-07-23 04:48:00+00:00,7531.5,7531.5,7529.75,7529.75,55
2026-07-23 04:49:00+00:00,7529.75,7529.75,7528.25,7528.25,114
2026-07-23 04:50:00+00:00,7528.25,7528.25,7527.0,7527.25,52
2026-07-23 04:51:00+00:00,7527.5,7527.75,7526.5,7526.5,64
2026-07-23 04:52:00+00:00,7526.75,7527.5,7526.25,7526.25,92
2026-07-23 04:53:00+00:00,7526.5,7527.0,7525.75,7527.0,68
2026-07-23 04:54:00+00:00,7526.75,7527.5,7526.5,7526.75,75
2026-07-23 04:55:00+00:00,7526.75,7527.75,7526.5,7526.5,35
2026-07-23 04:56:00+00:00,7526.5,7526.75,7526.0,7526.75,51
2026-07-23 04:57:00+00:00,7526.75,7527.5,7526.5,7527.5,37
2026-07-23 04:58:00+00:00,7527.5,7528.0,7527.0,7527.5,67
2026-07-23 04:59:00+00:00,7527.25,7527.5,7527.25,7527.25,11
2026-07-23 05:00:00+00:00,7527.5,7528.0,7526.0,7526.75,147
2026-07-23 05:01:00+00:00,7526.5,7526.5,7525.75,7525.75,60
2026-07-23 05:02:00+00:00,7525.75,7527.0,7525.0,7525.75,95
2026-07-23 05:03:00+00:00,7525.5,7526.75,7525.5,7526.0,41
2026-07-23 05:04:00+00:00,7525.75,7526.0,7525.5,7526.0,45
2026-07-23 05:05:00+00:00,7526.25,7526.5,7525.75,7525.75,43
2026-07-23 05:06:00+00:00,7525.75,7526.5,7525.5,7526.25,38
2026-07-23 05:07:00+00:00,7526.0,7526.75,7525.5,7526.25,48
2026-07-23 05:08:00+00:00,7526.5,7526.5,7525.75,7525.75,39
2026-07-23 05:09:00+00:00,7526.0,7526.25,7525.75,7526.0,24
2026-07-23 05:10:00+00:00,7526.25,7526.5,7525.5,7526.0,41
2026-07-23 05:11:00+00:00,7526.25,7526.25,7525.25,7525.25,41
2026-07-23 05:12:00+00:00,7525.25,7525.75,7524.0,7525.75,117
2026-07-23 05:13:00+00:00,7525.5,7526.5,7525.0,7526.25,80
2026-07-23 05:14:00+00:00,7526.25,7527.25,7526.0,7527.0,74
2026-07-23 05:15:00+00:00,7526.75,7526.75,7525.75,7526.75,46
2026-07-23 05:16:00+00:00,7526.75,7526.75,7525.5,7525.5,41
2026-07-23 05:17:00+00:00,7525.5,7526.0,7525.0,7525.75,78
2026-07-23 05:18:00+00:00,7525.75,7526.75,7525.5,7526.0,51
2026-07-23 05:19:00+00:00,7525.75,7526.0,7525.0,7526.0,39
2026-07-23 05:20:00+00:00,7526.0,7527.5,7526.0,7527.0,76
2026-07-23 05:21:00+00:00,7527.25,7528.0,7527.25,7528.0,61
2026-07-23 05:22:00+00:00,7528.0,7528.5,7526.75,7526.75,113
2026-07-23 05:23:00+00:00,7526.75,7526.75,7525.0,7525.0,62
2026-07-23 05:24:00+00:00,7525.0,7527.25,7524.5,7527.25,105
2026-07-23 05:25:00+00:00,7527.0,7529.0,7527.0,7528.5,71
2026-07-23 05:26:00+00:00,7528.25,7531.25,7528.25,7531.25,74
2026-07-23 05:27:00+00:00,7531.5,7532.25,7531.25,7531.5,129
2026-07-23 05:28:00+00:00,7531.25,7531.5,7531.0,7531.25,50
2026-07-23 05:29:00+00:00,7531.5,7533.75,7531.5,7533.75,147
2026-07-23 05:30:00+00:00,7533.75,7535.25,7533.0,7534.75,231
2026-07-23 05:31:00+00:00,7534.75,7535.5,7534.5,7535.0,118
2026-07-23 05:32:00+00:00,7534.75,7535.25,7534.25,7534.5,82
2026-07-23 05:33:00+00:00,7534.25,7534.5,7533.5,7534.0,83
2026-07-23 05:34:00+00:00,7534.0,7534.25,7533.0,7533.25,136
2026-07-23 05:35:00+00:00,7533.5,7533.5,7532.25,7532.75,89
2026-07-23 05:36:00+00:00,7532.75,7533.25,7531.75,7532.0,92
2026-07-23 05:37:00+00:00,7532.5,7532.75,7532.0,7532.0,40
2026-07-23 05:38:00+00:00,7532.5,7532.5,7530.0,7530.25,70
2026-07-23 05:39:00+00:00,7530.0,7530.5,7529.0,7529.5,89
2026-07-23 05:40:00+00:00,7529.5,7530.75,7528.75,7530.5,92
2026-07-23 05:41:00+00:00,7530.5,7531.75,7530.25,7530.5,66
2026-07-23 05:42:00+00:00,7530.5,7530.5,7530.0,7530.0,80
2026-07-23 05:43:00+00:00,7530.25,7531.0,7528.75,7528.75,66
2026-07-23 05:44:00+00:00,7528.5,7530.0,7528.25,7529.75,47
2026-07-23 05:45:00+00:00,7529.75,7530.0,7528.25,7528.25,57
2026-07-23 05:46:00+00:00,7528.5,7529.25,7528.25,7528.5,29
2026-07-23 05:47:00+00:00,7528.5,7528.5,7527.75,7527.75,85
2026-07-23 05:48:00+00:00,7527.5,7527.5,7525.75,7526.25,103
2026-07-23 05:49:00+00:00,7526.25,7526.5,7525.0,7525.0,155
2026-07-23 05:50:00+00:00,7525.0,7525.75,7524.0,7525.5,171
2026-07-23 05:51:00+00:00,7525.5,7526.0,7524.5,7524.75,45
2026-07-23 05:52:00+00:00,7524.75,7524.75,7524.0,7524.5,66
2026-07-23 05:53:00+00:00,7524.25,7524.75,7524.25,7524.5,94
2026-07-23 05:54:00+00:00,7524.25,7524.5,7521.5,7521.5,295
2026-07-23 05:55:00+00:00,7521.5,7523.75,7521.5,7523.25,323
2026-07-23 05:56:00+00:00,7523.5,7525.0,7523.25,7524.75,85
2026-07-23 05:57:00+00:00,7524.75,7525.0,7522.75,7524.25,110
2026-07-23 05:58:00+00:00,7524.0,7524.25,7522.75,7523.0,56
2026-07-23 05:59:00+00:00,7523.25,7523.25,7522.0,7522.75,138
2026-07-23 06:00:00+00:00,7522.5,7524.0,7522.5,7524.0,211
2026-07-23 06:01:00+00:00,7524.0,7526.25,7524.0,7525.75,261
2026-07-23 06:02:00+00:00,7525.5,7525.5,7524.5,7524.75,129
2026-07-23 06:03:00+00:00,7524.75,7525.25,7524.25,7525.0,86
2026-07-23 06:04:00+00:00,7525.0,7525.0,7524.0,7524.5,83
2026-07-23 06:05:00+00:00,7524.5,7525.75,7524.5,7525.5,123
2026-07-23 06:06:00+00:00,7525.25,7525.5,7522.75,7522.75,119
2026-07-23 06:07:00+00:00,7523.25,7523.5,7522.25,7522.75,94
2026-07-23 06:08:00+00:00,7522.75,7523.25,7522.5,7522.75,81
2026-07-23 06:09:00+00:00,7522.75,7523.0,7522.0,7522.5,119
2026-07-23 06:10:00+00:00,7522.5,7524.0,7522.5,7523.75,95
2026-07-23 06:11:00+00:00,7523.5,7523.75,7522.5,7523.0,145
2026-07-23 06:12:00+00:00,7523.0,7524.25,7522.25,7524.0,175
2026-07-23 06:13:00+00:00,7524.25,7524.75,7523.75,7524.5,121
2026-07-23 06:14:00+00:00,7524.5,7525.0,7524.0,7524.25,90
2026-07-23 06:15:00+00:00,7524.25,7524.5,7523.5,7523.75,137
2026-07-23 06:16:00+00:00,7523.75,7524.25,7523.0,7523.75,263
2026-07-23 06:17:00+00:00,7523.75,7525.75,7523.75,7525.0,186
2026-07-23 06:18:00+00:00,7525.25,7525.75,7524.25,7524.25,96
2026-07-23 06:19:00+00:00,7524.25,7526.0,7523.5,7526.0,252
2026-07-23 06:20:00+00:00,7526.0,7526.5,7525.5,7525.75,168
2026-07-23 06:21:00+00:00,7526.0,7526.25,7525.5,7526.0,132
2026-07-23 06:22:00+00:00,7526.25,7526.25,7523.25,7523.5,187
2026-07-23 06:23:00+00:00,7523.25,7523.75,7522.5,7522.75,133
2026-07-23 06:24:00+00:00,7523.0,7524.0,7523.0,7523.75,132
2026-07-23 06:25:00+00:00,7523.75,7525.5,7523.75,7525.0,166
2026-07-23 06:26:00+00:00,7525.0,7525.75,7525.0,7525.25,156
2026-07-23 06:27:00+00:00,7525.25,7525.25,7524.25,7524.75,110
2026-07-23 06:28:00+00:00,7524.75,7525.5,7524.5,7525.5,56
2026-07-23 06:29:00+00:00,7525.0,7526.25,7524.75,7525.75,799
2026-07-23 06:30:00+00:00,7525.75,7526.5,7524.75,7524.75,245
2026-07-23 06:31:00+00:00,7524.75,7524.75,7524.25,7524.25,120
2026-07-23 06:32:00+00:00,7524.25,7524.5,7523.75,7523.75,186
2026-07-23 06:33:00+00:00,7523.75,7524.0,7523.0,7523.0,156
2026-07-23 06:34:00+00:00,7523.0,7523.0,7521.75,7522.75,305
2026-07-23 06:35:00+00:00,7522.75,7523.0,7521.5,7522.5,218
2026-07-23 06:36:00+00:00,7522.5,7523.0,7522.25,7522.75,174
2026-07-23 06:37:00+00:00,7522.75,7522.75,7521.75,7522.0,124
2026-07-23 06:38:00+00:00,7521.75,7522.25,7521.5,7522.0,133
2026-07-23 06:39:00+00:00,7522.0,7522.25,7521.75,7521.75,96
2026-07-23 06:40:00+00:00,7521.75,7522.0,7521.0,7521.25,179
2026-07-23 06:41:00+00:00,7521.25,7521.25,7520.75,7521.25,112
2026-07-23 06:42:00+00:00,7521.5,7522.0,7521.5,7521.75,89
2026-07-23 06:43:00+00:00,7521.75,7522.25,7521.5,7521.75,119
2026-07-23 06:44:00+00:00,7521.75,7521.75,7520.0,7520.25,144
2026-07-23 06:45:00+00:00,7520.25,7521.75,7520.0,7521.5,144
2026-07-23 06:46:00+00:00,7521.5,7525.5,7521.5,7525.25,360
2026-07-23 06:47:00+00:00,7525.0,7525.25,7523.75,7523.75,120
2026-07-23 06:48:00+00:00,7524.0,7524.25,7523.5,7523.75,36
2026-07-23 06:49:00+00:00,7523.75,7523.75,7523.25,7523.25,83
